"Story","Title","Result","Date","Stability","Duration (s)"
"Ingreso a la tienda virtual","verificar el ingreso correcto a la tienda virtual","SUCCESS","2023-10-17T14:28:04.5486177-05:00[America/Bogota]","0.0","9.04"
"Ingreso a la tienda virtual","verificar el ingreso correcto con diferentes usuarios","SUCCESS","2023-10-17T14:28:13.5982485-05:00[America/Bogota]","0.0","32.01"
"Ingreso a la tienda virtual","verificar el ingreso correcto con diferentes usuarios","SUCCESS","2023-10-17T14:28:13.5982485-05:00[America/Bogota]","0.0","32.01"
"Ingreso a la tienda virtual","verificar mensaje de error al ingresar credenciales invalidas","SUCCESS","2023-10-17T14:28:45.6149736-05:00[America/Bogota]","0.0","8.63"
