"Story","Title","Result","Date","Stability","Duration (s)"
"Comprobar que el producto seleccionado se encuentre en el carrito","realizar una compra de un producto","SUCCESS","2024-09-27T11:24:06.8676967-05:00[America/Bogota]","0.0","24.81"
"Ingreso a la tienda virtual","verificar el ingreso correcto a la tienda virtual","SUCCESS","2023-10-17T14:28:04.5486177-05:00[America/Bogota]","0.0","9.04"
